"project_id","project_name","id","iid","merged_at","prepared_at","author_id","author_username","approver_id","approver_username"
"250833","GitLab.org___gitlab-runner","23192442","1168","2019-02-08T14:50:38.614Z","2019-01-29T22:36:06.427Z","2683848","eread","3585","axil"
"250833","GitLab.org___gitlab-runner","15144790","999","2019-01-15T07:46:08.158Z","2018-08-15T14:06:40.918Z","163557","glensc","128633","rymai"
"250833","GitLab.org___gitlab-runner","23261844","1171","2019-01-31T07:38:23.365Z","2019-01-30T14:19:29.001Z","210928","sxuereb","2683848","eread"
"250833","GitLab.org___gitlab-runner","22159285","1140","2019-01-11T15:31:28.542Z","2019-01-10T14:01:59.855Z","210928","sxuereb","3585","axil"
"250833","GitLab.org___gitlab-runner","19277846","1085","2018-11-16T14:49:14.839Z","2018-11-14T07:46:28.201Z","2683848","eread","3585","axil"
"250833","GitLab.org___gitlab-runner","13673035","952","2018-12-06T07:53:36.764Z","2018-07-03T22:32:43.427Z","5332","bbodenmiller","210928","sxuereb"
"250833","GitLab.org___gitlab-runner","18391768","1067","2018-10-30T07:20:04.420Z","2018-10-26T20:36:46.360Z","215818","tmaczukin","210928","sxuereb"
"250833","GitLab.org___gitlab-runner","17586650","1053","2018-10-15T10:39:15.096Z","2018-10-10T17:13:29.834Z","215818","tmaczukin","2243533","jyavorsky"
"250833","GitLab.org___gitlab-runner","17586650","1053","2018-10-15T10:39:15.096Z","2018-10-10T17:13:29.834Z","215818","tmaczukin","263716","grzesiek"
"250833","GitLab.org___gitlab-runner","18378156","1066","2018-10-26T14:20:33.849Z","2018-10-26T12:41:58.219Z","215818","tmaczukin","376774","nolith"
"250833","GitLab.org___gitlab-runner","17017884","1033","2018-09-28T13:31:58.276Z","2018-09-26T15:05:18.189Z","215818","tmaczukin","210928","sxuereb"
"250833","GitLab.org___gitlab-runner","15145054","1000","2018-09-04T09:56:11.201Z","2018-08-15T14:18:16.504Z","163557","glensc","376774","nolith"
"250833","GitLab.org___gitlab-runner","30234393","1381","2019-05-28T11:58:15.465Z","2019-05-27T12:58:26.230Z","210928","sxuereb","215818","tmaczukin"
"250833","GitLab.org___gitlab-runner","14796402","989","2018-08-07T21:14:49.674Z","2018-08-03T13:52:22.474Z","12452","ayufan","215818","tmaczukin"
"250833","GitLab.org___gitlab-runner","26504271","1267","2019-04-03T20:17:51.738Z","2019-03-27T15:22:17.456Z","12452","ayufan","215818","tmaczukin"
"250833","GitLab.org___gitlab-runner","26358224","1260","2019-04-01T15:02:51.270Z","2019-03-25T16:24:29.248Z","210928","sxuereb","215818","tmaczukin"
"250833","GitLab.org___gitlab-runner","13176307","939","2018-06-21T08:40:24.079Z","2018-06-21T07:53:11.508Z","215818","tmaczukin","376774","nolith"
"250833","GitLab.org___gitlab-runner","8911002","871","2018-04-18T08:25:38.824Z","2018-04-05T16:52:41.135Z","215818","tmaczukin","12452","ayufan"
"250833","GitLab.org___gitlab-runner","9318254","883","2018-04-26T14:56:43.218Z","2018-04-20T09:43:06.455Z","215818","tmaczukin","376774","nolith"
"250833","GitLab.org___gitlab-runner","9569905","891","2018-05-02T07:33:38.603Z","2018-05-02T06:28:46.486Z","376774","nolith","12452","ayufan"
"250833","GitLab.org___gitlab-runner","7829025","833","2018-02-14T17:32:52.459Z","2018-02-14T16:08:09.806Z","215818","tmaczukin","376774","nolith"
"250833","GitLab.org___gitlab-runner","7974271","842","2018-02-22T14:34:32.478Z","2018-02-22T13:09:22.886Z","215818","tmaczukin","376774","nolith"
"250833","GitLab.org___gitlab-runner","7746537","828","2018-02-09T18:40:29.056Z","2018-02-09T15:43:24.004Z","376774","nolith","215818","tmaczukin"
"250833","GitLab.org___gitlab-runner","7090361","802","2018-01-09T17:00:51.145Z","2018-01-09T16:21:48.380Z","376774","nolith","215818","tmaczukin"
"250833","GitLab.org___gitlab-runner","6645606","779","2018-01-05T15:41:27.160Z","2017-12-11T13:51:53.346Z","376774","nolith","12452","ayufan"
"250833","GitLab.org___gitlab-runner","6646897","780","2017-12-12T10:11:33.953Z","2017-12-11T14:34:03.308Z","376774","nolith","215818","tmaczukin"
